Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement,Block 1,Block 2
2014-05-21,2014/165,Andreas Kirstein,AL,Isabel Garcia,GLP,Schul- und Sportdepartement (SSD),links,mitte
2018-09-12,2018/341,Andri Silberschmidt,FDP,Gabriele Kisker,Grüne,Hochbaudepartement (HBD),rechts,links
2016-01-27,2016/36,Andrea Nüssli,SP,Christian Traber,CVP,Schul- und Sportdepartement (SSD),links,mitte
2017-04-12,2017/105,Andreas Kirstein,AL,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2012-02-01,2012/46,Gerhard Bosshard,EVP,Bernhard Piller,Grüne,Hochbaudepartement (HBD),mitte,links
2009-05-27,2009/224,Jean-Claude Virchaux,CVP,Balthasar Glättli,Grüne,Finanzdepartement (FD),mitte,links
2001-08-29,2001/432,Joe A. Manser,SP,Urs Lauffer,FDP,Hochbaudepartement (HBD),links,rechts
2017-12-20,2017/463,Patrick Hadi Huber,SP,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2015-03-11,2015/71,Felix Moser,Grüne,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2006-11-15,2006/499,Gregor Bucher,Grüne,Mischa Morgenbesser,FDP,Präsidialdepartement (PRD),links,rechts
2006-07-12,2006/314,Salvatore Di Concilio,SP,Robert Schönbächler,CVP,Präsidialdepartement (PRD),links,mitte
2002-01-30,2002/41,Beat Badertscher,FDP,Werner Sieg,SP,Präsidialdepartement (PRD),rechts,links
2018-11-07,2018/425,Urs Helfenstein,SP,Matthias Wiesmann,GLP,Präsidialdepartement (PRD),links,mitte
2013-01-09,2013/10,Marcel Savarioud,SP,Jean-Claude Virchaux,CVP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2013-02-06,2013/38,Simone Brander,SP,Ann-Catherine Nabholz,GLP,Departement der Industriellen Betriebe (DIB),links,mitte
2014-11-12,2014/365,Cordula Bieri,Grüne,Markus Baumann,GLP,Sozialdepartement (SD),links,mitte
2019-08-21,2019/346,Shaibal Roy,GLP,Marcel Bührig,Grüne,Sicherheitsdepartement (SID),mitte,links
2015-05-27,2015/162,Eduard Guggenheim,AL,Marc Bourgeois,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2004-08-18,2004/403,Alecs Recher,AL,Robert Schönbächler,CVP,Hochbaudepartement (HBD),links,mitte
2001-11-21,2001/591,Joe A. Manser,SP,Hans-Ulrich Meier,FDP,Hochbaudepartement (HBD),links,rechts
2019-02-06,2019/59,Pascal Lamprecht,SP,Sven Sobernheim,GLP,Sicherheitsdepartement (SID),links,mitte
2012-08-22,2012/308,Davy Graf,SP,Joachim Hagger,FDP,Finanzdepartement (FD),links,rechts
2019-02-06,2019/58,Pirmin Meyer,GLP,Marcel Tobler,SP,Präsidialdepartement (PRD),mitte,links
2004-08-18,2004/402,Alecs Recher,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2013-02-06,2013/39,Alan David Sangines,SP,Mario Mariani,CVP,Polizeidepartement (PD),links,mitte
2018-09-12,2018/342,Balz Bürgisser,Grüne,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2018-11-07,2018/424,Andri Silberschmidt,FDP,Jean-Daniel Strub,SP,Hochbaudepartement (HBD),rechts,links
2009-08-26,2002/40,Robert Kaeser,FDP,Peter Stähli-Barth,SP,Präsidialdepartement (PRD),rechts,links
2018-01-17,2018/18,Dorothea Frei,SP,Patrick Albrecht,FDP,Sicherheitsdepartement (SID),links,rechts
2017-01-11,2017/2,Mario Mariani,CVP,Mathias Manz,SP,Departement der Industriellen Betriebe (DIB),mitte,links
2004-01-07,2004/8,Marlène Butz,SP,Georg Schmid,CVP,Polizeidepartement (PD),links,mitte
2010-10-06,2010/422,Matthias Probst,Grüne,Gian von Planta,GLP,Hochbaudepartement (HBD),links,mitte
2006-01-25,2006/24,Balthasar Glättli,Grüne,Michael Baumer,FDP,Finanzdepartement (FD),links,rechts
1996-12-31,1996/57,Kurt Tschopp,CVP,Monika Spring-Gross,SP,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2017-09-06,2017/304,Ann-Catherine Nabholz,GLP,Balz Bürgisser,Grüne,Departement der Industriellen Betriebe (DIB),mitte,links
2009-05-27,2009/227,Thomas Marthaler,SP,Alexander Jäger,FDP,Schul- und Sportdepartement (SSD),links,rechts
2000-03-29,2000/146,Monika Spring-Gross,SP,Robert Schönbächler,CVP,Polizeidepartement (PD),links,mitte
2012-07-04,2012/286,Mark Richli,SP,Samuel Dubno,GLP,Präsidialdepartement (PRD),links,mitte
2005-05-25,2005/205,Corine Mauch,SP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB),links,mitte
2016-12-21,2016/463,Eduard Guggenheim,AL,Mario Babini,Parteilos,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
