,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
1659,23.6.1999,1999/277,Jürg Casparis,SVP,Mauro Tuena,SVP,Polizeidepartement (PD)
1660,21.12.2011,2010/35,Claudia Nielsen,SP,Bernhard Piller,Grüne,Departement der Industriellen Betriebe (DIB)
1661,6.10.1999,1999/510,Rolf Naef,SP,Reto Heygel,SP,Tiefbau- und Entsorgungsdepartement (TED)
1662,23.6.1999,1999/276,Jürg Casparis,SVP,Mauro Tuena,SVP,Polizeidepartement (PD)
1663,9.5.2007,2007/238,Martin Sarbach,SP,Katrin Schönenberger-Meier,EVP,Tiefbau- und Entsorgungsdepartement (TED)
1664,16.6.1999,1999/262,Monika Spring-Gross,SP,Silvia Biedermann,SP,Departement der Industriellen Betriebe (DIB)
1665,6.10.1999,1999/504,Marina Garzotto,SVP,Luzi Rüegg,SVP,Polizeidepartement (PD)
1666,18.12.19,2003/152,Christoph Hug,Grüne,Balthasar Glättli,Grüne,
1667,5.3.2003,2003/74,Roger Liebi,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
1668,13.07.2011,2011/296,Alan David Sangines,SP,Uschi Heinrich,SP,Sozialdepartement (SD)
1669,17.4.2003,2003/146,Cornelia Schaub,SVP,Martin Burger,SVP,Präsidialdepartement (PRD)
1670,26.2.2003,2003/60,Werner Sieg,SP,Claudia Rütsche,CVP,
1671,25.9.2002,2002/355,Robert Schönbächler,CVP,Ernst Danner,EVP,Sozialdepartement (SD)
1672,08.01.20,2012/427,Claudia Rabelbauer,EVP,Martin Mächler,EVP,
1673,28.06.2017,2017/210,Walter Angst,AL,Isabel Garcia,GLP,Stadtrat
1674,29.10.2014,2014/338,Martin Bürlimann,SVP,Kurt Hüssy,SVP,
1675,25.2.2004,2004/82,Michael Baumer,FDP,Monjek Rosenheim,FDP,Polizeidepartement (PD)
1676,06.07.2011,2011/269,Urs Rechsteiner,CVP,Markus Hungerbühler,CVP,Hochbaudepartement (HBD)
1677,22.10.1997,1997/427,Myrta Studer,SP,Esther Maurer,SP,Tiefbau- und Entsorgungsdepartement (TED)
1678,21.10.2009,2009/469,Susi Gut,PFZ,Markus Schwyn,PFZ,Tiefbau- und Entsorgungsdepartement (TED)
1679,3.3.2004,2004/96,Cornelia Schaub,SVP,Mauro Tuena,SVP,Finanzdepartement (FD)
1680,9.5.2001,2001/241,Ruth Anhorn,SVP,Luzi Rüegg,SVP,Departement der Industriellen Betriebe (DIB)
1681,08.07.2009,2009/327,Jacqueline Badran,SP,André Odermatt,SP,
1682,22.05.2013,2013/185,Renate Fischer,SP,Martin Bürki,FDP,Stadtrat
1683,04.04.2018,2018/134,Marcel Savarioud,SP,Dorothea Frei,SP,Stadtrat
1684,30.3.2005,2005/117,Ernst Danner,EVP,Hanspeter Kunz,EVP,Schul- und Sportdepartement (SSD)
1685,12.03.2008,2008/120,Mario Mariani,CVP,Albert Leiser,FDP,Hochbaudepartement (HBD)
1686,08.07.2009,2009/333,Andrew Katumba,SP,Marianne Aubert,SP,Tiefbau- und Entsorgungsdepartement (TED)
1687,9.5.2001,2001/255,Katharina Prelicz-Huber,Grüne,Heidi Bucher-Steinegger,Grüne,
1688,4.6.2003,2003/185,Susi Gut,PFZ,Raphaela-Franziska Ulcay-Hauser,SVP,Polizeidepartement (PD)
1689,2.10.2002,2002/396,Beat Badertscher,FDP,Hans Bachmann,FDP,Polizeidepartement (PD)
1690,23.10.2019,2019/441,Mathias Egloff,SP,Guido Hüni,GLP,Stadtrat
1691,19.1.2000,2000/25,Hans Marolf,SVP,Armin Schilter,SVP,Gesundheits- und Umweltdepartement (GUD)
1692,06.11.2013,2013/378,Christoph Spiess,SD,Patrick Blöchlinger,SD,Polizeidepartement (PD)
1693,12.1.2000,2000/19,Arthur Bernet,SVP,Monika Erfigen,SVP,Departement der Industriellen Betriebe (DIB)
1694,02.10.2013,2013/344,Severin Pflüger,FDP,Roger Tognella,FDP,
1695,29.10.2008,2008/493,Christian Wenger,SD,Patrick Blöchlinger,SD,Schul- und Sportdepartement (SSD)
1696,17.9.2003,2003/350,Marlène Butz,SP,Werner Sieg,SP,Hochbaudepartement (HBD)
1697,27.11.2013,2013/422,Alecs Recher,AL,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
1698,21.1.2009,2009/29,Bruno Sidler,SVP,Peter Stähli-Barth,SP,Tiefbau- und Entsorgungsdepartement (TED)
1699,15.5.2002,2002/157,Roger Liebi,SVP,Walter Isliker,SVP,Polizeidepartement (PD)
1700,06.03.2013,2013/71,Marc Bourgeois,FDP,Martin Bürki,FDP,
1701,16.12.2006,2006/598,Ueli Nagel,Grüne,Daniel Leupi,Grüne,
1702,30.09.2015,2015/329,Daniel Regli,SVP,Martin Götzl,SVP,
1703,10.3.1999,1999/99,Emil Seliner,SP,Ueli Keller,SP,Departement der Industriellen Betriebe (DIB)
