,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
257,23.01.2019,2019/28,Markus Baumann,GLP,mitte,Marcel Tobler,SP,links,Gemeinderat
258,6.12.2006,2006/576,Pierino Cerliani,Grüne,links,Mario Mariani,CVP,mitte,Departement der Industriellen Betriebe (DIB)
259,1.10.2003,2003/369,Daniel Leupi,Grüne,links,Christian Traber,CVP,mitte,Departement der Industriellen Betriebe (DIB)
260,30.10.2013,2013/369,Marcel Schönbächler,CVP,mitte,Peter Küng,SP,links,
261,23.11.2005,2005/489,Balthasar Glättli,Grüne,links,Gerold Lauber,CVP,mitte,
262,15.12.2004,2004/671,Hans Jörg Käppeli,SP,links,Kurt Maeder,CVP,mitte,Departement der Industriellen Betriebe (DIB)
263,08.01.20,2018/327,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,
264,26.03.2014,2014/96,Eva-Maria Würth,SP,links,Karin Weyermann,CVP,mitte,
265,20.03.2019,2019/108,Markus Baumann,GLP,mitte,Marco Geissbühler,SP,links,Gemeinderat
266,5.12.2007,2007/639,Walter Angst,AL,links,Jean-Claude Virchaux,CVP,mitte,Sozialdepartement (SD)
267,14.06.2017,2017/188,Ann-Catherine Nabholz,GLP,mitte,Gabriele Kisker,Grüne,links,
268,19.6.2002,2002/218,Marcel Savarioud,SP,links,Gerold Lauber,CVP,mitte,
269,04.12.2019,2019/524,Marion Schmid,SP,links,Corina Ursprung,FDP,rechts,Gemeinderat
270,27.11.2002,2002/519,Rolf Kuhn,SP,links,Anton Stäbler,CVP,mitte,Sozialdepartement (SD)
271,21.11.2018,2015/405,Roger Tognella,FDP,rechts,Marco Denoth,SP,links,
272,07.11.2018,2018/426,Corina Gredig,GLP,mitte,Jean-Daniel Strub,SP,links,Stadtrat
273,16.01.2013,2013/13,Gian von Planta,GLP,mitte,Patrick Hadi Huber,SP,links,
274,27.05.2015,2015/160,Roger-Paul Speck,SP,links,Sven Sobernheim,GLP,mitte,
275,21.05.2014,2014/165,Andreas Kirstein,AL,links,Isabel Garcia,GLP,mitte,Schul- und Sportdepartement (SSD)
276,12.09.2018,2018/341,Andri Silberschmidt,FDP,rechts,Gabriele Kisker,Grüne,links,Stadtrat
277,27.01.2016,2016/36,Andrea Nüssli,SP,links,Christian Traber,CVP,mitte,
278,12.04.2017,2017/105,Andreas Kirstein,AL,links,Albert Leiser,FDP,rechts,
279,01.02.2012,2012/46,Gerhard Bosshard,EVP,mitte,Bernhard Piller,Grüne,links,Hochbaudepartement (HBD)
280,27.5.2009,2009/224,Jean-Claude Virchaux,CVP,mitte,Balthasar Glättli,Grüne,links,Finanzdepartement (FD)
281,29.8.2001,2001/432,Joe A. Manser,SP,links,Urs Lauffer,FDP,rechts,Hochbaudepartement (HBD)
282,20.12.2017,2017/463,Patrick Hadi Huber,SP,links,Ann-Catherine Nabholz,GLP,mitte,Stadtrat
283,11.03.2015,2015/71,Felix Moser,Grüne,links,Ann-Catherine Nabholz,GLP,mitte,
284,12.7.2006,2006/314,Salvatore Di Concilio,SP,links,Robert Schönbächler,CVP,mitte,
285,30.1.2002,2002/41,Beat Badertscher,FDP,rechts,Werner Sieg,SP,links,
286,07.11.2018,2018/425,Urs Helfenstein,SP,links,Matthias Wiesmann,GLP,mitte,Stadtrat
287,06.02.2013,2013/38,Simone Brander,SP,links,Ann-Catherine Nabholz,GLP,mitte,
288,12.11.2014,2014/365,Cordula Bieri,Grüne,links,Markus Baumann,GLP,mitte,Sozialdepartement (SD)
289,21.08.2019,2019/346,Shaibal Roy,GLP,mitte,Marcel Bührig,Grüne,links,Stadtrat
290,27.05.2015,2015/162,Eduard Guggenheim,AL,links,Marc Bourgeois,FDP,rechts,Geschäftsbericht Stadtrat
291,18.8.2004,2004/403,Alecs Recher,AL,links,Robert Schönbächler,CVP,mitte,Hochbaudepartement (HBD)
292,21.11.2001,2001/591,Joe A. Manser,SP,links,Hans-Ulrich Meier,FDP,rechts,Hochbaudepartement (HBD)
293,06.02.2019,2019/59,Pascal Lamprecht,SP,links,Sven Sobernheim,GLP,mitte,Gemeinderat
294,22.08.2012,2012/308,Davy Graf,SP,links,Joachim Hagger,FDP,rechts,Finanzdepartement (FD)
295,06.02.2019,2019/58,Pirmin Meyer,GLP,mitte,Marcel Tobler,SP,links,Stadtrat
296,18.8.2004,2004/402,Alecs Recher,AL,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
297,06.02.2013,2013/39,Alan David Sangines,SP,links,Mario Mariani,CVP,mitte,
298,12.09.2018,2018/342,Balz Bürgisser,Grüne,links,Ann-Catherine Nabholz,GLP,mitte,Stadtrat
299,07.11.2018,2018/424,Andri Silberschmidt,FDP,rechts,Jean-Daniel Strub,SP,links,Stadtrat
300,26.08.2009,2002/40,Robert Kaeser,FDP,rechts,Peter Stähli-Barth,SP,links,
301,17.01.2018,2018/18,Dorothea Frei,SP,links,Patrick Albrecht,FDP,rechts,
302,11.01.2017,2017/2,Mario Mariani,CVP,mitte,Mathias Manz,SP,links,
303,7.1.2004,2004/8,Marlène Butz,SP,links,Georg Schmid,CVP,mitte,Polizeidepartement (PD)
304,06.10.2010,2010/422,Matthias Probst,Grüne,links,Gian von Planta,GLP,mitte,
305,25.1.2006,2006/24,Balthasar Glättli,Grüne,links,Michael Baumer,FDP,rechts,Finanzdepartement (FD)
306,08.01.20,1996/57,Kurt Tschopp,CVP,mitte,Monika Spring-Gross,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
307,06.09.2017,2017/304,Ann-Catherine Nabholz,GLP,mitte,Balz Bürgisser,Grüne,links,Stadtrat
308,29.3.2000,2000/146,Monika Spring-Gross,SP,links,Robert Schönbächler,CVP,mitte,Polizeidepartement (PD)
311,25.5.2005,2005/205,Corine Mauch,SP,links,Ernst Danner,EVP,mitte,
312,21.12.2016,2016/463,Eduard Guggenheim,AL,links,Mario Babini,Parteilos,mitte,Stadtrat
313,17.12.2008,2008/583,Bernhard Piller,Grüne,links,Martin Mächler,EVP,mitte,
314,17.04.2019,2019/155,Florian Blättler,SP,links,Christian Monn,GLP,mitte,Stadtrat
315,18.11.2015,2015/365,Pawel Silberring,SP,links,Christian Traber,CVP,mitte,Stadtrat
316,17.4.2002,2002/127,Marcel Savarioud,SP,links,Gerold Lauber,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
317,03.10.2018,2018/385,Eduard Guggenheim,AL,links,Sebastian Vogel,FDP,rechts,
318,22.06.2011,2011/219,Gian von Planta,GLP,mitte,Markus Knauss,Grüne,links,
319,20.4.2005,2005/166,Heinz Bögle,SP,links,Rosemarie Berthoud,FDP,rechts,Sozialdepartement (SD)
