,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
396,1.10.2003,2003/369,Daniel Leupi,Grüne,links,Christian Traber,CVP,mitte,Departement der Industriellen Betriebe (DIB)
397,30.10.2013,2013/369,Marcel Schönbächler,CVP,mitte,Peter Küng,SP,links,Finanzdepartement (FD)
398,23.11.2005,2005/489,Balthasar Glättli,Grüne,links,Gerold Lauber,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
399,01.04.2009,2009/120,Hans Bachmann,FDP,rechts,Peter Anderegg,EVP,mitte,Polizeidepartement (PD)
400,15.12.2004,2004/671,Hans Jörg Käppeli,SP,links,Kurt Maeder,CVP,mitte,Departement der Industriellen Betriebe (DIB)
401,08.01.20,2018/327,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Sicherheitsdepartement (SID)
402,26.03.2014,2014/96,Eva-Maria Würth,SP,links,Karin Weyermann,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
403,20.03.2019,2019/108,Markus Baumann,GLP,mitte,Marco Geissbühler,SP,links,Sozialdepartement (SD)
404,5.12.2007,2007/639,Walter Angst,AL,links,Jean-Claude Virchaux,CVP,mitte,Sozialdepartement (SD)
405,05.06.2013,2013/209,Marco Denoth,SP,links,Markus Hungerbühler,CVP,mitte,Polizeidepartement (PD)
406,14.06.2017,2017/188,Ann-Catherine Nabholz,GLP,mitte,Gabriele Kisker,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
407,19.6.2002,2002/218,Marcel Savarioud,SP,links,Gerold Lauber,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
408,04.12.2019,2019/524,Marion Schmid,SP,links,Corina Ursprung,FDP,rechts,Sozialdepartement (SD)
409,27.11.2002,2002/519,Rolf Kuhn,SP,links,Anton Stäbler,CVP,mitte,Sozialdepartement (SD)
410,27.01.2016,2016/37,Guy Krayenbühl,GLP,mitte,Christoph Luchsinger,FDP,rechts,Präsidialdepartement (PRD)
411,21.11.2018,2015/405,Roger Tognella,FDP,rechts,Marco Denoth,SP,links,Sicherheitsdepartement (SID)
412,31.3.2004,2004/164,Gerold Lauber,CVP,mitte,Albert Leiser,FDP,rechts,Sozialdepartement (SD)
414,25.11.2015,2015/377,Urs Fehr,SVP,rechts,Mario Mariani,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
415,07.11.2018,2018/426,Corina Gredig,GLP,mitte,Jean-Daniel Strub,SP,links,Präsidialdepartement (PRD)
416,29.01.20,2004/158,Georg Schmid,CVP,mitte,Werner Sieg,SP,links,Hochbaudepartement (HBD)
418,16.01.2013,2013/13,Gian von Planta,GLP,mitte,Patrick Hadi Huber,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
419,23.08.2017,2017/266,Markus Baumann,GLP,mitte,Alexander Brunner,FDP,rechts,Sozialdepartement (SD)
420,06.02.2019,2019/66,Andri Silberschmidt,FDP,rechts,Vera Ziswiler,SP,links,Finanzdepartement (FD)
421,27.05.2015,2015/160,Roger-Paul Speck,SP,links,Sven Sobernheim,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
422,13.03.2019,2019/98,Markus Merki,GLP,mitte,Stefan Urech,SVP,rechts,Präsidialdepartement (PRD)
