,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
589,17.6.2009,2009/268,Severin Pflüger,FDP,Daniel Meier,CVP,
590,28.2.2001,2001/89,Markus Schwyn,PFZ,Hansruedi Bär,SVP,Sozialdepartement (SD)
591,07.12.2011,2011/468,Michel Urben,SP,Marcel Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
592,8.3.2000,2000/109,Joe A. Manser,SP,Max Fritz,FDP,Geschäftsbericht Stadtrat
593,04.12.2019,2019/532,Guido Hüni,GLP,Sebastian Vogel,FDP,Gemeinderat
594,27.08.2014,2014/263,Hans Jörg Käppeli,SP,Andreas Kirstein,AL,
595,2.6.2004,2004/288,Christina Bellin-Isele,SP,Thomas  Kappeler,CVP,Hochbaudepartement (HBD)
596,20.6.2007,2007/363,Albert Leiser,FDP,Hedy Schlatter,SVP,Sozialdepartement (SD)
597,30.03.2011,2011/98,Marc Bourgeois,FDP,Guido Trevisan,GLP,
598,16.11.2016,2016/399,Katharina Prelicz-Huber,Grüne,Gabriela Rothenfluh,SP,
599,11.07.2018,2018/279,Barbara Wiesmann,SP,Res Marti,Grüne,Stadtrat
600,4.10.2000,2000/486,Köbi Möri,Parteilos,Luzi Rüegg,SVP,Polizeidepartement (PD)
601,24.11.2010,2010/486,Christina Hug,Grüne,Isabel Garcia,GLP,Präsidialdepartement (PRD)
602,5.6.2002,2002/187,Christopher Vohdin,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
603,02.07.2008,2008/325,Dominique Feuillet,SP,Matthias Probst,Grüne,Polizeidepartement (PD)
604,16.09.2009,2004/667,Susi Gut,PFZ,Thomas Schwendener,SVP,
605,1.11.2000,2000/525,Köbi Möri,Parteilos,Werner Furrer,SVP,Schul- und Sportdepartement (SSD)
606,26.02.2014,2014/57,Martin Luchsinger,GLP,Jean-Claude Virchaux,CVP,
607,05.12.2018,2018/480,Balz Bürgisser,Grüne,Simone Brander,SP,Stadtrat
608,15.04.2015,2015/110,Michel Urben,SP,Karin Meier-Bohrer,Grüne,Polizeidepartement (PD)
609,16.6.2004,2004/317,Markus Schwyn,PFZ,Bruno Garzotto,SVP,Sozialdepartement (SD)
610,30.5.2001,2001/291,Christopher Vohdin,SVP,Markus Schwyn,PFZ,Tiefbau- und Entsorgungsdepartement (TED)
611,24.10.2007,2007/564,Markus Knauss,Grüne,Beatrice Reimann,SP,
612,18.12.19,2001/290,Joe A. Manser,SP,Christoph Hug,Grüne,
613,28.10.2009,2009/484,Andrea Nüssli,SP,Andreas Ammann,,
614,16.01.2019,2019/16,Katharina Prelicz-Huber,Grüne,Natalie Eberle,AL,Gemeinderat
615,28.1.2004,2004/47,Gregor Bucher,,Mark Richli,SP,
616,23.3.2005,2005/111,Roger Liebi,SVP,Markus Schwyn,PFZ,Hochbaudepartement (HBD)
