,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
365,23.06.2010,2010/271,Daniel Meier,CVP,Theo Hauri,SVP,Departement der Industriellen Betriebe (DIB)
366,19.06.2013,2013/239,Gerhard Bosshard,EVP,Esther Straub,SP,Präsidialdepartement (PRD)
367,07.02.2018,2018/65,Michael Kraft,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED)
368,05.10.2016,2016/340,Urs Helfenstein,SP,Karin Rykart Sutter,Grüne,Hochbaudepartement (HBD)
369,11.6.2003,2003/205,Susi Gut,PFZ,Bruno Wohler,SVP,Gesundheits- und Umweltdepartement (GUD)
370,5.12.2007,2007/635,Walter Angst,AL,Ernst Danner,EVP,Finanzdepartement (FD)
371,19.08.2015,2015/268,Simone Brander,SP,Marc Bourgeois,FDP,Departement der Industriellen Betriebe (DIB)
372,14.07.2010,2010/311,Dorothea Frei,SP,Severin Pflüger,FDP,Finanzdepartement (FD)
373,11.4.2007,2007/184,Marcel Savarioud,SP,Josef Widler,CVP,Sozialdepartement (SD)
374,1.3.2006,2006/65,Niklaus Scherr,AL,Alexander Jäger,FDP,Departement der Industriellen Betriebe (DIB)
375,01.11.2017,2017/379,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID)
376,20.04.2016,2016/142,Sven Sobernheim,GLP,Markus Kunz,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
377,2.6.2004,2004/286,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
378,28.01.2015,2015/31,Marcel Bührig,Grüne,Markus Hungerbühler,CVP,Gesundheits- und Umweltdepartement (GUD)
379,20.12.2002,2002/566,Susann Birrer,FDP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED)
380,07.12.2011,2011/466,Peter Küng,SP,Marcel Schönbächler,CVP,Schul- und Sportdepartement (SSD)
381,20.11.2019,2019/500,Markus Merki,GLP,Andreas Kirstein,AL,Tiefbau- und Entsorgungsdepartement (TED)
382,07.12.2011,2011/472,Bernhard Piller,Grüne,Helen Glaser,SP,Departement der Industriellen Betriebe (DIB)
383,11.11.2009,2009/516,Heinz F. Steger,FDP,Uschi Heinrich,SP,Tiefbau- und Entsorgungsdepartement (TED)
384,04.07.2007,2007/384,Claudia Simon,FDP,Kurt Hüssy,SVP,Tiefbau- und Entsorgungsdepartement (TED)
385,27.11.2019,2019/516,Christina Schiller,AL,Vera Ziswiler,SP,Sicherheitsdepartement (SID)
386,31.08.2011,2011/316,Markus Knauss,Grüne,Samuel Dubno,GLP,Polizeidepartement (PD)
387,10.06.2009,2009/258,Monika Bloch Süss,CSP,Marlène Butz,SP,Polizeidepartement (PD)
388,2.6.2004,2004/284,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
389,31.1.2001,2001/52,Markus Schwyn,PFZ,Christian Mettler,SVP,Präsidialdepartement (PRD)
390,23.01.2008,2008/62,Christine Seidler,SP,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
