Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2005-02-09,2005/43,Mauro Tuena,SVP,Susi Gut,PFZ,Präsidialdepartement (PRD)
2016-12-16,2016/451,Mario Mariani,CVP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2011-05-18,2005/551,Bernhard Piller,Grüne,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2010-09-01,2010/366,Jürg Ammann,Grüne,Helen Glaser,SP,Sozialdepartement (SD)
2005-02-08,2005/223,Corine Mauch,SP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB)
2001-07-04,2001/388,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
2006-05-03,2006/135,Judith Bucher,SP,Christian Traber,CVP,Sozialdepartement (SD)
2004-11-10,2004/583,Thomas Marthaler,SP,Christian Traber,CVP,Polizeidepartement (PD)
2016-04-20,2016/135,Pascal Lamprecht,SP,Markus Baumann,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2001-01-24,2001/27,Christian Mettler,SVP,Markus Schwyn,PFZ,Sozialdepartement (SD)
2009-05-13,2009/205,Heinz F. Steger,FDP,Jacqueline Badran,SP,"Finanzdepartement (FD), Hochbaudepartement (HBD), Präsidialdepartement (PRD)"
2000-12-20,2000/616,Markus Schwyn,PFZ,Christian Mettler,SVP,Sozialdepartement (SD)
2009-11-25,2009/563,Pierino Cerliani,Grüne,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2014-12-31,2014/230,Marcel Schönbächler,CVP,Peter Küng,SP,Finanzdepartement (FD)
2009-11-25,2009/561,Daniel Regli,SVP,Peter Anderegg,EVP,Tiefbau- und Entsorgungsdepartement (TED)
2009-11-25,2009/549,Walter Angst,AL,Jean-Claude Virchaux,CVP,Finanzdepartement (FD)
2011-09-21,2011/349,Dorothea Frei,SP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2020-01-15,2020/14,Marcel Müller,FDP,Pascal Lamprecht,SP,Sicherheitsdepartement (SID)
2015-02-04,2015/44,Markus Knauss,Grüne,Guido Trevisan,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2016-04-20,2016/137,Marcel Tobler,SP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
1991-01-30,1991/56,Werner Furrer,SVP,Paul Kleger,FDP,Hochbaudepartement (HBD)
2006-01-18,2006/10,Roger Tognella,FDP,Gerold Lauber,CVP,Sozialdepartement (SD)
2000-07-12,2000/364,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2010-09-29,2010/416,Gabriele Kisker,Grüne,Samuel Dubno,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2003-12-17,2003/502,Markus Schwyn,PFZ,Monika Erfigen,SVP,Sozialdepartement (SD)
2005-02-09,2005/41,Robert Schönbächler,CVP,Heinz Bögle,SP,Tiefbau- und Entsorgungsdepartement (TED)
2018-01-31,2018/38,Alexander Brunner,FDP,Shaibal Roy,GLP,Finanzdepartement (FD)
2013-07-03,2013/258,Ann-Catherine Nabholz,GLP,Heinz F. Steger,FDP,Hochbaudepartement (HBD)
2009-12-16,2009/603,Mario Mariani,CVP,Hanspeter Kunz,EVP,Polizeidepartement (PD)
2005-10-26,2005/427,Robert Schönbächler,CVP,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
2018-10-24,2018/404,Yasmine Bourgeois,FDP,Susanne Brunner,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2004-12-01,2004/634,Maya Burri-Wenger,SP,Gerold Lauber,CVP,Finanzdepartement (FD)
2003-12-10,2003/489,Oliver B. Meier,SVP,Gerold Lauber,CVP,Hochbaudepartement (HBD)
2013-01-23,2013/25,Pawel Silberring,SP,Christian Traber,CVP,Sozialdepartement (SD)
2012-03-14,2012/103,Simon Kälin-Werth,Grüne,Marlène Butz,SP,Tiefbau- und Entsorgungsdepartement (TED)
1996-12-11,2006/255,Bastien Girod,Grüne,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
2000-02-09,2000/65,Jürg R. Schüepp,FDP,Willy Furter,EVP,Tiefbau- und Entsorgungsdepartement (TED)
2007-02-07,2007/78,Alecs Recher,AL,Peider Filli,Grüne,Stadtschreiber/in (STS)
2009-02-04,2009/55,Esther Straub,SP,Gabriele Kisker,Grüne,Gesundheits- und Umweltdepartement (GUD)
2008-04-09,2008/174,Richard Rabelbauer,EVP,Esther Ponti-Weder,CVP,Schul- und Sportdepartement (SSD)
2018-04-18,2018/160,Jean-Daniel Strub,SP,Andreas Kirstein,AL,Präsidialdepartement (PRD)
2014-11-05,2014/350,Markus Knauss,Grüne,Simone Brander,SP,Tiefbau- und Entsorgungsdepartement (TED)
2008-04-02,2008/160,Heinz F. Steger,FDP,Daniel Meier,CVP,Hochbaudepartement (HBD)
2019-03-13,2019/93,Sven Sobernheim,GLP,Andri Silberschmidt,FDP,Sicherheitsdepartement (SID)
2008-03-26,2008/148,Ernst Danner,EVP,Urs Rechsteiner,CVP,Präsidialdepartement (PRD)
1999-11-24,1999/587,Christoph Hug,Grüne,Marie-Therese Meier,SP,Tiefbau- und Entsorgungsdepartement (TED)
2017-07-12,2017/244,Roger Liebi,SVP,Markus Knauss,Grüne,Präsidialdepartement (PRD)
2014-12-03,2014/393,Patrick Hadi Huber,SP,Markus Knauss,Grüne,Hochbaudepartement (HBD)
2017-07-12,2017/250,Eduard Guggenheim,AL,Marcel Bührig,Grüne,Finanzdepartement (FD)
2007-09-26,2007/522,Ruth Ackermann,CVP,Ernst Danner,EVP,Präsidialdepartement (PRD)
2010-02-03,2010/74,Bernhard Piller,Grüne,Monika Bloch Süss,CSP,Tiefbau- und Entsorgungsdepartement (TED)
2010-01-27,2010/60,Myrtha Meuli,SP,Hans Bachmann,FDP,Hochbaudepartement (HBD)
2010-01-27,2010/61,Monika Bloch Süss,CSP,Bernhard Jüsi,SP,Polizeidepartement (PD)
2017-03-22,2017/68,Elena Marti,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
2019-01-30,2019/45,Marco Denoth,SP,Brigitte Fürer,Grüne,"Finanzdepartement (FD), Gesundheits- und Umweltdepartement (GUD)"
2010-02-03,2010/75,Monika Bloch Süss,CSP,Hans Urs von Matt,SP,Gesundheits- und Umweltdepartement (GUD)
2002-11-06,2002/472,Walter Angst,AL,Pierino Cerliani,Grüne,Finanzdepartement (FD)
2004-01-14,2004/28,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
2007-10-03,2007/537,Ernst Danner,EVP,Ruth Ackermann,CVP,Polizeidepartement (PD)
2002-12-31,2002/300,Joe A. Manser,SP,Andreas J. Schlegel,FDP,Schul- und Sportdepartement (SSD)
2009-09-23,2009/428,Marcel Z'graggen,CVP,Richard Rabelbauer,EVP,Präsidialdepartement (PRD)
2018-04-11,2018/149,Markus Knauss,Grüne,Simone Brander,SP,Sicherheitsdepartement (SID)
2019-03-06,2019/86,Luca Maggi,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
1991-12-31,1991/392,Toni Baur,Grüne,Erika Mägli-Fischer,SP,Tiefbau- und Entsorgungsdepartement (TED)
2008-04-02,2008/161,Ueli Nagel,Grüne,Claudia Rabelbauer,EVP,Schul- und Sportdepartement (SSD)
2014-11-05,2014/351,Heinz F. Steger,FDP,Ruth Ackermann,CVP,Polizeidepartement (PD)
2008-04-09,2008/175,Richard Rabelbauer,EVP,Esther Ponti-Weder,CVP,Schul- und Sportdepartement (SSD)
