Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2009-02-04,2009/48,Claudia Simon,FDP,Ruth Anhorn,SVP,Schul- und Sportdepartement (SSD)
2013-01-09,2013/10,Marcel Savarioud,SP,Jean-Claude Virchaux,CVP,Gesundheits- und Umweltdepartement (GUD)
2003-09-03,2003/325,Cornelia Schaub,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2000-02-02,2000/44,Niklaus Scherr,AL,Balthasar Glättli,Grüne,Gesundheits- und Umweltdepartement (GUD)
2013-02-06,2013/38,Simone Brander,SP,Ann-Catherine Nabholz,GLP,Departement der Industriellen Betriebe (DIB)
2014-11-12,2014/365,Cordula Bieri,Grüne,Markus Baumann,GLP,Sozialdepartement (SD)
2019-08-21,2019/346,Shaibal Roy,GLP,Marcel Bührig,Grüne,Sicherheitsdepartement (SID)
2015-05-27,2015/162,Eduard Guggenheim,AL,Marc Bourgeois,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2004-08-18,2004/403,Alecs Recher,AL,Robert Schönbächler,CVP,Hochbaudepartement (HBD)
2014-11-12,2014/359,Marianne Aubert,SP,Markus Knauss,Grüne,Polizeidepartement (PD)
2008-05-07,2008/196,Michael Baumer,FDP,Claudia Rabelbauer,EVP,Finanzdepartement (FD)
2012-12-05,2012/452,Bernhard Piller,Grüne,Andreas Edelmann,SP,Departement der Industriellen Betriebe (DIB)
2002-09-04,2002/320,Roger Liebi,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
2007-09-19,2007/517,Ueli Nagel,Grüne,Franziska Graf,SP,Gesundheits- und Umweltdepartement (GUD)
2002-10-30,2002/446,Albert Leiser,FDP,Robert Schönbächler,CVP,Präsidialdepartement (PRD)
2001-11-21,2001/591,Joe A. Manser,SP,Hans-Ulrich Meier,FDP,Hochbaudepartement (HBD)
2019-02-06,2019/59,Pascal Lamprecht,SP,Sven Sobernheim,GLP,Sicherheitsdepartement (SID)
2009-09-02,2009/391,Salvatore Di Concilio,SP,Peider Filli,Grüne,Departement der Industriellen Betriebe (DIB)
2012-08-22,2012/308,Davy Graf,SP,Joachim Hagger,FDP,Finanzdepartement (FD)
2010-01-20,2010/41,Bernhard Piller,Grüne,André Odermatt,SP,Gesundheits- und Umweltdepartement (GUD)
2017-03-08,2017/48,Markus Hungerbühler,CVP,Thomas Kleger,FDP,Sicherheitsdepartement (SID)
2004-01-21,2004/35,Markus Schwyn,PFZ,Monika Erfigen,SVP,Gesundheits- und Umweltdepartement (GUD)
1999-11-10,1999/564,Lorenz Habicher,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
2019-02-27,2019/70,Balz Bürgisser,Grüne,Jean-Daniel Strub,SP,Hochbaudepartement (HBD)
2019-02-06,2019/58,Pirmin Meyer,GLP,Marcel Tobler,SP,Präsidialdepartement (PRD)
2003-04-02,2003/126,Cornelia Schaub,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2002-10-30,2002/447,Marcel Knörr,FDP,Hans Diem,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2011-06-22,2011/221,Simone Brander,SP,Simon Kälin-Werth,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2004-07-07,2004/364,Martin Burger,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2005-05-11,2005/177,Susi Gut,PFZ,Bruno Sidler,SVP,Präsidialdepartement (PRD)
2002-11-20,2002/490,Hans Diem,CVP,Erika Bärtschi Hafner,FDP,Hochbaudepartement (HBD)
2004-08-18,2004/402,Alecs Recher,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2008-03-26,2008/140,Martin Sarbach,SP,Markus Knauss,Grüne,Polizeidepartement (PD)
2014-11-19,2014/370,Marcel Bührig,Grüne,Patrick Hadi Huber,SP,Präsidialdepartement (PRD)
2014-01-22,2014/24,Walter Angst,AL,Kyriakos Papageorgiou,SP,Tiefbau- und Entsorgungsdepartement (TED)
2013-02-06,2013/39,Alan David Sangines,SP,Mario Mariani,CVP,Polizeidepartement (PD)
2003-09-03,2003/324,Susi Gut,PFZ,Bruno Wohler,SVP,Stadtschreiber/in (STS)
2003-11-19,2003/442,Ernst Danner,EVP,Gerold Lauber,CVP,Departement der Industriellen Betriebe (DIB)
2006-11-30,2008/395,Claudia Rabelbauer,EVP,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2008-07-09,2008/342,Andrew Katumba,SP,Gabriele Kisker,Grüne,Sozialdepartement (SD)
2018-11-07,2018/430,Christoph Marty,SVP,Pablo Bünger,FDP,Hochbaudepartement (HBD)
2008-09-17,2008/424,Albert Leiser,FDP,Josef Widler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2018-09-12,2018/342,Balz Bürgisser,Grüne,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2018-11-07,2018/424,Andri Silberschmidt,FDP,Jean-Daniel Strub,SP,Hochbaudepartement (HBD)
2009-04-29,2009/145,Beatrice Reimann,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2015-11-25,2015/375,Anjushka Früh,SP,Eva Hirsiger,Grüne,Gesundheits- und Umweltdepartement (GUD)
2007-12-12,2007/648,Daniel Meier,CVP,Peter Anderegg,EVP,Finanzdepartement (FD)
2013-07-10,2013/278,Duri Beer,SP,Peider Filli,Grüne,Schul- und Sportdepartement (SSD)
2006-08-23,2006/329,Ruth Anhorn,SVP,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2009-08-26,2002/40,Robert Kaeser,FDP,Peter Stähli-Barth,SP,Präsidialdepartement (PRD)
2018-01-17,2018/18,Dorothea Frei,SP,Patrick Albrecht,FDP,Sicherheitsdepartement (SID)
2017-04-12,2017/106,Marcel Bührig,Grüne,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD)
2017-01-11,2017/2,Mario Mariani,CVP,Mathias Manz,SP,Departement der Industriellen Betriebe (DIB)
2004-01-07,2004/8,Marlène Butz,SP,Georg Schmid,CVP,Polizeidepartement (PD)
2008-12-17,2008/578,Ruth Anhorn,SVP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2010-10-06,2010/422,Matthias Probst,Grüne,Gian von Planta,GLP,Hochbaudepartement (HBD)
2018-06-13,2018/222,Anjushka Früh,SP,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
2000-09-06,2000/436,Markus Schwyn,PFZ,Arthur Bernet,SVP,Polizeidepartement (PD)
2006-12-31,2006/30,Ueli Nagel,Grüne,Rolf Kuhn,SP,Hochbaudepartement (HBD)
2017-12-31,2017/338,Katharina Prelicz-Huber,Grüne,Gabriela Rothenfluh,SP,Finanzdepartement (FD)
2006-01-25,2006/24,Balthasar Glättli,Grüne,Michael Baumer,FDP,Finanzdepartement (FD)
1996-12-31,1996/57,Kurt Tschopp,CVP,Monika Spring-Gross,SP,Tiefbau- und Entsorgungsdepartement (TED)
2017-09-06,2017/304,Ann-Catherine Nabholz,GLP,Balz Bürgisser,Grüne,Departement der Industriellen Betriebe (DIB)
2008-01-16,2008/21,Richard Rabelbauer,EVP,Josef Widler,CVP,Sozialdepartement (SD)
2008-01-16,2008/35,Richard Rabelbauer,EVP,Josef Widler,CVP,Sozialdepartement (SD)
2010-04-14,2010/191,Hans Bachmann,FDP,Ruth Anhorn,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2012-04-04,2010/146,Christine Seidler,SP,Alecs Recher,AL,Präsidialdepartement (PRD)
2009-05-27,2009/227,Thomas Marthaler,SP,Alexander Jäger,FDP,Schul- und Sportdepartement (SSD)
2000-03-29,2000/146,Monika Spring-Gross,SP,Robert Schönbächler,CVP,Polizeidepartement (PD)
2000-12-20,2000/620,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
1995-12-31,1995/181,Theres Renner,FraP,Anita Zimmerling Enkelmann,SP,Finanzdepartement (FD)
2012-07-04,2012/286,Mark Richli,SP,Samuel Dubno,GLP,Präsidialdepartement (PRD)
2004-04-07,2004/200,Gregor Bucher,Grüne,Myriam Barzotto,SP,Schul- und Sportdepartement (SSD)
2001-08-22,2001/423,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2012-02-08,2012/55,Ueli Nagel,Grüne,Richard Wolff,AL,Tiefbau- und Entsorgungsdepartement (TED)
2002-08-21,2002/279,Ernst Danner,EVP,Georg Schmid,CVP,Polizeidepartement (PD)
1998-05-27,1998/161,Markus Schwyn,PFZ,Emil Grabherr,SVP,Sozialdepartement (SD)
2015-03-04,2015/60,Andreas Kirstein,AL,Gabriele Kisker,Grüne,Polizeidepartement (PD)
2009-12-09,2009/592,Alecs Recher,AL,Karin Rykart Sutter,Grüne,Hochbaudepartement (HBD)
2006-11-08,2006/488,Richard Rabelbauer,EVP,Daniel Meier,CVP,Finanzdepartement (FD)
2017-01-11,2017/6,Marcel Müller,FDP,Mario Mariani,CVP,Hochbaudepartement (HBD)
2005-05-25,2005/205,Corine Mauch,SP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB)
1999-12-02,1999/602,Niklaus Scherr,AL,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
2018-01-17,2018/20,Marcel Müller,FDP,Markus Hungerbühler,CVP,Sozialdepartement (SD)
2016-12-21,2016/463,Eduard Guggenheim,AL,Mario Babini,Parteilos,Tiefbau- und Entsorgungsdepartement (TED)
2008-12-17,2008/583,Bernhard Piller,Grüne,Martin Mächler,EVP,Departement der Industriellen Betriebe (DIB)
2015-11-11,2015/359,Mario Babini,Parteilos,Andreas Egli,FDP,Polizeidepartement (PD)
2004-12-01,2004/638,Susi Gut,PFZ,Marina Garzotto,SVP,Sozialdepartement (SD)
2019-04-17,2019/155,Florian Blättler,SP,Christian Monn,GLP,Hochbaudepartement (HBD)
2015-11-18,2015/365,Pawel Silberring,SP,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2002-04-17,2002/127,Marcel Savarioud,SP,Gerold Lauber,CVP,Gesundheits- und Umweltdepartement (GUD)
2018-10-03,2018/385,Eduard Guggenheim,AL,Sebastian Vogel,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2019-05-15,2019/196,Olivia Romanelli,AL,Pawel Silberring,SP,Sicherheitsdepartement (SID)
2003-12-31,2003/446,Niklaus Scherr,AL,Mark Roth,SP,Hochbaudepartement (HBD)
2013-12-31,2013/2,Marcel Z'graggen,CVP,Martin Mächler,EVP,Gesundheits- und Umweltdepartement (GUD)
2019-09-25,2019/419,Luca Maggi,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
2011-06-22,2011/219,Gian von Planta,GLP,Markus Knauss,Grüne,Polizeidepartement (PD)
2005-04-20,2005/167,Alecs Recher,AL,Balthasar Glättli,Grüne,Sozialdepartement (SD)
2008-03-26,2008/144,Mario Mariani,CVP,Claudia Rabelbauer,EVP,Departement der Industriellen Betriebe (DIB)
2004-08-18,2004/406,Markus Knauss,Grüne,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
2019-02-06,2019/60,Simone Brander,SP,Eduard Guggenheim,AL,Tiefbau- und Entsorgungsdepartement (TED)
2003-01-15,2003/10,Cornelia Schaub,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
2002-09-11,2002/331,Roger Liebi,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2013-04-10,2013/136,Ursula Uttinger,FDP,Irene Bernhard,GLP,Sozialdepartement (SD)
2019-09-11,2019/380,Guido Hüni,GLP,Sebastian Vogel,FDP,Hochbaudepartement (HBD)
2018-05-16,2018/193,Markus Knauss,Grüne,Simone Brander,SP,Tiefbau- und Entsorgungsdepartement (TED)
2013-04-03,2013/123,2013_0123.pdf,85 KB,2013_0123.pdf,119 KB,Departement der Industriellen Betriebe (DIB)
2009-08-26,2009/381,Peter Anderegg,EVP,Daniel Meier,CVP,Hochbaudepartement (HBD)
2004-01-14,2004/24,Monika Erfigen,SVP,Susi Gut,PFZ,Finanzdepartement (FD)
2004-07-07,2004/361,Markus Schwyn,PFZ,Martin Burger,SVP,Präsidialdepartement (PRD)
2005-04-20,2005/166,Heinz Bögle,SP,Rosemarie Berthoud,FDP,Sozialdepartement (SD)
2012-12-19,2012/495,Marc Bourgeois,FDP,Roger Liebi,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2014-11-05,2014/349,Simone Brander,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2006-11-22,2006/516,Corine Mauch,SP,Balthasar Glättli,Grüne,Sozialdepartement (SD)
2006-11-15,2006/502,Ueli Nagel,Grüne,Rolf Kuhn,SP,Gesundheits- und Umweltdepartement (GUD)
2018-10-03,2018/384,Monika Bätschmann,Grüne,Marion Schmid,SP,Gesundheits- und Umweltdepartement (GUD)
2008-09-17,2008/421,Marianne Spieler Frauenfelder,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2008-07-09,2008/347,Ernst Danner,EVP,Robert Schönbächler,CVP,Gesundheits- und Umweltdepartement (GUD)
2004-11-17,2004/605,Markus Schwyn,PFZ,Martin Burger,SVP,Polizeidepartement (PD)
2014-05-21,2014/163,Marcel Bührig,Grüne,Simone Brander,SP,Polizeidepartement (PD)
2019-04-17,2019/154,Marco Denoth,SP,Markus Kunz,Grüne,Präsidialdepartement (PRD)
2000-12-31,2000/209,Markus Knauss,Grüne,Monika Spring-Gross,SP,Tiefbau- und Entsorgungsdepartement (TED)
2007-12-19,2007/671,Marco V. Camin,FDP,Joe A. Manser,SP,
2003-07-02,2003/255,Balthasar Glättli,Grüne,Mark Roth,SP,Finanzdepartement (FD)
2018-01-17,2018/21,Raphael Kobler,FDP,Markus Hungerbühler,CVP,Gesundheits- und Umweltdepartement (GUD)
